Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p
dmsA_2,,anaerobic dimethyl sulfoxide reductase chain A,0,83,409,45,0,35.15625,0,6.69E-65,3.92E-61,3.47E-63,1,0,1,1,1
torD,,Putative cytoplasmic chaperone,89,128,320,0,21.7603912,0,0,7.06E-65,4.14E-61,3.63E-63,1,0,1,1,1
mutY,,A/G-specific adenine glycosylase,346,6,63,122,84.59657702,95.3125,111.6719577,1.11E-64,6.52E-61,5.62E-63,1,1,1,1,1
group_581,mutY,A/G-specific adenine glycosylase,63,122,346,6,15.40342298,4.6875,0.0089548,1.11E-64,6.52E-61,5.62E-63,1,1,1,1,1
group_1537,,Putative helix-turn-helix containing protein,409,47,0,81,100,63.28125,inf,6.42E-63,3.76E-59,3.14E-61,1,1,0,1,1
group_479,,"C4-dicarboxylate anaerobic carrier, putative",0,81,409,47,0,36.71875,0,6.42E-63,3.76E-59,3.14E-61,1,0,1,1,1
group_1538,,Putative helix-turn-helix containsing protein,0,81,409,47,0,36.71875,0,6.42E-63,3.76E-59,3.14E-61,1,0,1,1,1
group_1206,,Putative oxidoreductase subunit,0,81,409,47,0,36.71875,0,6.42E-63,3.76E-59,3.14E-61,1,0,1,1,1
group_2924,,metallo-beta-lactamase family protein,313,0,96,128,76.52811736,100,inf,3.03E-62,1.77E-58,1.45E-60,1,1,0,1,1
glx2,,Metallo-beta-lactamase family protein,96,128,313,0,23.47188264,0,0,3.03E-62,1.77E-58,1.45E-60,1,0,1,1,1
group_1717,,putative phosphoserine phosphatase,332,4,77,124,81.17359413,96.875,133.6623377,7.88E-62,4.62E-58,3.75E-60,1,1,1,1,1
group_2799,,HrEpiB,306,0,103,128,74.81662592,100,inf,9.70E-60,5.69E-56,4.55E-58,1,1,0,1,1
dmsC,,Cj81-083,103,128,306,0,25.18337408,0,0,9.70E-60,5.69E-56,4.55E-58,1,0,1,1,1
group_644,,2-oxoglutarate/malate translocator,5,85,404,43,1.222493888,33.59375,0.00626092,1.72E-59,1.01E-55,8.02E-58,1,1,1,1,1
group_1574,,Putative outer membrane siderophore receptor,305,0,104,128,74.57212714,100,inf,2.16E-59,1.27E-55,9.99E-58,1,1,0,1,1
group_1098,,Cj81-040,342,9,67,119,83.61858191,92.96875,67.49253731,1.59E-58,9.32E-55,7.28E-57,1,1,1,1,1
group_2036,,Putative uncharacterized protein,0,76,409,52,0,40.625,0,4.19E-58,2.46E-54,1.91E-56,1,0,1,1,1
group_2407,,hypothetical protein,109,128,300,0,26.65036675,0,0,1.11E-57,6.49E-54,4.91E-56,1,0,1,1,1
group_2974,,Cj81-117,109,128,300,0,26.65036675,0,0,1.11E-57,6.49E-54,4.91E-56,1,0,1,1,1
group_2975,,Putative uncharacterized protein,109,128,300,0,26.65036675,0,0,1.11E-57,6.49E-54,4.91E-56,1,0,1,1,1
group_3596,,"Transporter, LysE family",7,85,402,43,1.711491443,33.59375,0.008808897,2.81E-57,1.65E-53,1.24E-55,1,1,1,1,1
group_1374,,hypothetical protein,294,0,115,128,71.88264059,100,inf,1.06E-55,6.19E-52,4.55E-54,1,1,0,1,1
group_1757,,hypothetical protein,294,0,115,128,71.88264059,100,inf,1.06E-55,6.19E-52,4.55E-54,1,1,0,1,1
group_1821,,DnaB-like protein helicase-like protein,294,0,115,128,71.88264059,100,inf,1.06E-55,6.19E-52,4.55E-54,1,1,0,1,1
group_2708,,hypothetical protein,293,0,116,128,71.63814181,100,inf,2.22E-55,1.30E-51,9.24E-54,1,1,0,1,1
group_2709,,hypothetical protein,293,0,116,128,71.63814181,100,inf,2.22E-55,1.30E-51,9.24E-54,1,1,0,1,1
group_3266,,hypothetical protein,293,0,116,128,71.63814181,100,inf,2.22E-55,1.30E-51,9.24E-54,1,1,0,1,1
group_3267,,Putative uncharacterized protein,293,0,116,128,71.63814181,100,inf,2.22E-55,1.30E-51,9.24E-54,1,1,0,1,1
group_3269,,hypothetical protein,293,0,116,128,71.63814181,100,inf,2.22E-55,1.30E-51,9.24E-54,1,1,0,1,1
group_3002,arsR,Putative transcriptional regulator,0,73,409,55,0,42.96875,0,2.64E-55,1.55E-51,1.09E-53,1,0,1,1,1
group_1099,,Cj81-040,69,117,340,11,16.87041565,8.59375,0.01907994,5.07E-55,2.97E-51,2.08E-53,1,1,1,1,1
group_1914,,"TonB-dependent colicin lipoprotein, putative",297,1,112,127,72.61613692,99.21875,336.7767857,1.76E-54,1.03E-50,7.17E-53,1,1,1,1,1
group_1920,,hypothetical protein,296,1,113,127,72.37163814,99.21875,332.6725664,3.73E-54,2.18E-50,1.51E-52,1,1,1,1,1
group_1755,,hypothetical protein,288,0,121,128,70.41564792,100,inf,8.56E-54,5.02E-50,3.42E-52,1,1,0,1,1
group_2031,,Putative uncharacterized protein,121,128,288,0,29.58435208,0,0,8.56E-54,5.02E-50,3.42E-52,1,0,1,1,1
dmsA,,Anaerobic dimethyl sulfoxide reductase chain A,69,116,340,12,16.87041565,9.375,0.020993915,9.37E-54,5.49E-50,3.71E-52,1,1,1,1,1
xerC,,Tyrosine recombinase XerC,294,1,115,127,71.88264059,99.21875,324.6782609,1.65E-53,9.65E-50,6.44E-52,1,1,1,1,1
group_774,,Putative uncharacterized protein,115,127,294,1,28.11735941,0.78125,0.003079972,1.65E-53,9.65E-50,6.44E-52,1,1,1,1,1
group_2707,,cpp21,293,1,116,127,71.63814181,99.21875,320.7844828,3.44E-53,2.02E-49,1.33E-51,1,1,1,1,1
group_3268,,hypothetical protein,293,1,116,127,71.63814181,99.21875,320.7844828,3.44E-53,2.02E-49,1.33E-51,1,1,1,1,1
group_1477,,CMP-Neu5Ac synthetase,285,0,124,128,69.68215159,100,inf,7.28E-53,4.27E-49,2.72E-51,1,1,0,1,1
group_1992,,Putative uncharacterized protein,124,128,285,0,30.31784841,0,0,7.28E-53,4.27E-49,2.72E-51,1,0,1,1,1
rmlA1,,Glucose-1-phosphate thymidylyltransferase,124,128,285,0,30.31784841,0,0,7.28E-53,4.27E-49,2.72E-51,1,0,1,1,1
group_3556,,Putative two domain glycosyltransferase,124,128,285,0,30.31784841,0,0,7.28E-53,4.27E-49,2.72E-51,1,0,1,1,1
rmlB,,"dTDP-glucose 4,6-dehydratase",124,128,285,0,30.31784841,0,0,7.28E-53,4.27E-49,2.72E-51,1,0,1,1,1
group_3220,,hypothetical protein,125,128,284,0,30.56234719,0,0,1.47E-52,8.64E-49,5.45E-51,1,0,1,1,1
group_2710,,hypothetical protein,291,1,118,127,71.14914425,99.21875,313.1949153,1.48E-52,8.67E-49,5.45E-51,1,1,1,1,1
group_1240,,"putative prophage LambdaCh01, recombination protein Bet",290,1,119,127,70.90464548,99.21875,309.4957983,3.05E-52,1.79E-48,1.12E-50,1,1,1,1,1
group_3138,,hypothetical protein,0,69,409,59,0,46.09375,0,1.15E-51,6.72E-48,4.18E-50,1,0,1,1,1
group_95,,type II restriction-modification enzyme,281,0,128,128,68.70415648,100,inf,1.19E-51,6.99E-48,4.32E-50,1,1,0,1,1
fdtC,,"dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose 3-N-acetyltransferase",121,127,288,1,29.58435208,0.78125,0.00330818,1.28E-51,7.48E-48,4.59E-50,1,1,1,1,1
group_3409,,putative acetyltransferase,280,0,129,128,68.4596577,100,inf,2.38E-51,1.39E-47,8.49E-50,1,1,0,1,1
group_232,,Sugar phosphate permease,345,16,64,112,84.35207824,87.5,37.734375,4.76E-51,2.79E-47,1.69E-49,1,1,1,1,1
group_227,,MFS di-/tripeptide transporter,286,1,123,127,69.92665037,99.21875,295.300813,5.26E-51,3.08E-47,1.86E-49,1,1,1,1,1
group_642,,Hypothetical protein,0,68,409,60,0,46.875,0,8.96E-51,5.25E-47,3.15E-49,1,0,1,1,1
csn1,,putative CRISPR-associated protein,399,47,10,81,97.55501222,63.28125,68.76382979,1.39E-50,8.18E-47,4.87E-49,1,1,1,1,1
group_1653,,Putative uncharacterized protein,31,96,378,32,7.579462103,25,0.027336861,3.50E-50,2.05E-46,1.21E-48,1,1,1,1,1
group_2729,,putative periplasmic protein,274,0,135,128,66.99266504,100,inf,1.37E-49,8.05E-46,4.73E-48,1,1,0,1,1
group_1950,,Putative periplasmic beta-lactamase,329,12,80,116,80.4400978,90.625,39.75416667,1.88E-49,1.10E-45,6.45E-48,1,1,1,1,1
group_3273,,putative integral membrane protein,273,0,136,128,66.74816626,100,inf,2.66E-49,1.56E-45,9.08E-48,1,1,0,1,1
group_1445,,hypothetical protein,325,12,84,116,79.46210269,90.625,37.40079365,5.47E-48,3.21E-44,1.85E-46,1,1,1,1,1
group_1137,,putative sugar transferase,302,6,107,122,73.83863081,95.3125,57.3894081,6.61E-48,3.88E-44,2.23E-46,1,1,1,1,1
group_1237,,hypothetical protein,268,0,141,128,65.52567237,100,inf,1.06E-47,6.23E-44,3.56E-46,1,1,0,1,1
group_2730,,putative acidic periplasmic protein,274,1,135,127,66.99266504,99.21875,257.762963,1.84E-47,1.08E-43,6.14E-46,1,1,1,1,1
group_647,,Hypothetical protein,0,64,409,64,0,50,0,2.91E-47,1.70E-43,9.62E-46,1,0,1,1,1
group_228,,Di-/tripeptide transporter,31,91,378,37,7.579462103,28.90625,0.033344962,1.95E-45,1.14E-41,6.41E-44,1,1,1,1,1
