Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p
group_3420,,hypothetical protein,27,0,382,128,6.601466993,100,inf,0.000785854,1,0.002977812,1,1,0,1,1
group_5466,,Putative uncharacterized protein,27,0,382,128,6.601466993,100,inf,0.000785854,1,0.002977812,1,1,0,1,1
group_2931,,hypothetical protein,169,32,240,96,41.3202934,75,2.1125,0.000802261,1,0.003038019,1,1,1,1,1
group_3014,,hypothetical protein,28,0,381,128,6.84596577,100,inf,0.00084642,1,0.003194923,1,1,0,1,1
group_157,,Putative outer-membrane protein,28,0,381,128,6.84596577,100,inf,0.00084642,1,0.003194923,1,1,0,1,1
group_4190,,hypothetical protein,28,0,381,128,6.84596577,100,inf,0.00084642,1,0.003194923,1,1,0,1,1
group_1976,,hypothetical protein,28,0,381,128,6.84596577,100,inf,0.00084642,1,0.003194923,1,1,0,1,1
group_2049,,hypothetical protein,28,0,381,128,6.84596577,100,inf,0.00084642,1,0.003194923,1,1,0,1,1
group_2386,,RelE/ParE family plasmid stabilization system protein,2,7,407,121,0.488997555,94.53125,0.084942085,0.000887576,1,0.003348116,1,1,1,1,1
group_1453,,"Membrane protein, putative",247,98,162,30,60.39119804,23.4375,0.466742252,0.000999566,1,0.003768138,1,1,1,1,1
group_623,,Putative periplasmic protein,336,120,73,8,82.15158924,6.25,0.306849315,0.001000623,1,0.003769698,1,1,1,1,1
group_282,,MCP-domain signal transduction protein,68,7,341,121,16.62591687,94.53125,3.447004608,0.001131652,1,0.004260594,1,1,1,1,1
group_2930,,hypothetical protein,167,32,242,96,40.83129584,75,2.070247934,0.001138898,1,0.004285123,1,1,1,1,1
group_2402,fcl,GDP-fucose synthetase,62,6,347,122,15.15892421,95.3125,3.633045149,0.001224203,1,0.004603129,1,1,1,1,1
group_1322,,Putative uncharacterized protein,123,20,286,108,30.07334963,84.375,2.322377622,0.0012527,1,0.004707261,1,1,1,1,1
group_1161,,hypothetical protein,25,0,384,128,6.112469438,100,inf,0.001315921,1,0.004929028,1,1,0,1,1
group_156,,hypothetical protein,25,0,384,128,6.112469438,100,inf,0.001315921,1,0.004929028,1,1,0,1,1
group_470,,hypothetical protein,25,0,384,128,6.112469438,100,inf,0.001315921,1,0.004929028,1,1,0,1,1
group_3929,flgE-2,Flagellar hook subunit protein,25,0,384,128,6.112469438,100,inf,0.001315921,1,0.004929028,1,1,0,1,1
group_1647,,hypothetical protein,25,0,384,128,6.112469438,100,inf,0.001315921,1,0.004929028,1,1,0,1,1
group_813,,"Peptidase, A24 family",51,4,358,124,12.46943765,96.875,4.416201117,0.001328275,1,0.004972127,1,1,1,1,1
group_115,,Putative periplasmic protein,102,15,307,113,24.93887531,88.28125,2.502931596,0.001335522,1,0.004996062,1,1,1,1,1
group_539,waaV,lipooligosaccharide biosynthesis glycosyltransferase,26,0,383,128,6.356968215,100,inf,0.001370012,1,0.005105539,1,1,0,1,1
group_471,,hypothetical protein,26,0,383,128,6.356968215,100,inf,0.001370012,1,0.005105539,1,1,0,1,1
group_1154,,hypothetical protein,26,0,383,128,6.356968215,100,inf,0.001370012,1,0.005105539,1,1,0,1,1
group_1696,hddC_1,capsular polysaccharide heptosyltransferase,26,0,383,128,6.356968215,100,inf,0.001370012,1,0.005105539,1,1,0,1,1
group_4187,,hypothetical protein,26,0,383,128,6.356968215,100,inf,0.001370012,1,0.005105539,1,1,0,1,1
group_4188,,hypothetical protein,26,0,383,128,6.356968215,100,inf,0.001370012,1,0.005105539,1,1,0,1,1
group_1264,,putative integral membrane protein,399,116,10,12,97.55501222,9.375,4.127586207,0.001477308,1,0.0054984,1,1,1,1,1
group_3112,,hypothetical protein,10,12,399,116,2.444987775,90.625,0.242272348,0.001477308,1,0.0054984,1,1,1,1,1
group_1311,,Cytochrome c family protein,65,7,344,121,15.89242054,94.53125,3.266196013,0.001681906,1,0.006255921,1,1,1,1,1
flgE-2,,Flagellar hook subunit protein,76,41,333,87,18.58190709,67.96875,0.484289167,0.002040267,1,0.007584049,1,1,1,1,1
group_2197,,putative periplasmic protein,386,128,23,0,94.37652812,0,0,0.002213969,1,0.008088469,1,0,1,1,1
group_1341,,capsular polysaccharide biosynthesis protein,23,0,386,128,5.623471883,100,inf,0.002213969,1,0.008088469,1,1,0,1,1
group_93,,type II restriction-modification enzyme,23,0,386,128,5.623471883,100,inf,0.002213969,1,0.008088469,1,1,0,1,1
group_402,,galactosyltransferase,23,0,386,128,5.623471883,100,inf,0.002213969,1,0.008088469,1,1,0,1,1
group_120,,Putative periplasmic protein,23,0,386,128,5.623471883,100,inf,0.002213969,1,0.008088469,1,1,0,1,1
group_146,,Putative outer-membrane protein,23,0,386,128,5.623471883,100,inf,0.002213969,1,0.008088469,1,1,0,1,1
group_2949,,hypothetical protein,23,0,386,128,5.623471883,100,inf,0.002213969,1,0.008088469,1,1,0,1,1
virD4,,VirD4,23,0,386,128,5.623471883,100,inf,0.002213969,1,0.008088469,1,1,0,1,1
group_3431,,hypothetical protein,23,0,386,128,5.623471883,100,inf,0.002213969,1,0.008088469,1,1,0,1,1
group_3443,,hypothetical protein,23,0,386,128,5.623471883,100,inf,0.002213969,1,0.008088469,1,1,0,1,1
group_3445,,hypothetical protein,23,0,386,128,5.623471883,100,inf,0.002213969,1,0.008088469,1,1,0,1,1
group_3483,,hypothetical protein,23,0,386,128,5.623471883,100,inf,0.002213969,1,0.008088469,1,1,0,1,1
group_1260,,putative integral membrane protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_3421,,putative lipoprotein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_265,,putative sugar nucleotidyltransferase,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_1191,,hypothetical protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
virB10,,VirB10,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
trbB,,conjugative transfer regulon protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_2944,,hypothetical protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_2945,,VirD4,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_2947,,hypothetical protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_2948,,"RepE replication protein, putative",24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_3422,,hypothetical protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_3423,,hypothetical protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
virB4,,VirB4,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_3425,,VirB7,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
virB8,,VirB8,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
virB9,,VirB9,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_3429,,hypothetical protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_3432,,hypothetical protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_3433,,hypothetical protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_3434,,hypothetical protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_3435,ssb_2,putative single stranded DNA binding protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_3439,,putative plasmid partioning ParA protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_3440,,hypothetical protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_3441,,hypothetical protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_3442,,TrbM-like protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_3444,,hypothetical protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_359,,hypothetical protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_7346,,hypothetical protein,24,0,385,128,5.86797066,100,inf,0.002231159,1,0.008088469,1,1,0,1,1
group_649,,Putative uncharacterized protein,355,96,54,32,86.79706601,25,2.191358025,0.002280759,1,0.008263171,1,1,1,1,1
group_1779,,"sodium transporter, putative",32,1,377,127,7.82396088,99.21875,10.77984085,0.00235363,1,0.008483271,1,1,1,1,1
group_3833,,hypothetical protein,3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
group_1382,,formyl transferase domain protein,3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
group_2389,,hypothetical protein,3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
group_3779,,hypothetical protein,3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
group_3786,,hypothetical protein,3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
group_3788,,hypothetical protein,3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
group_3789,,hypothetical protein,3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
group_3790,,hypothetical protein,3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
mazF9,,Endoribonuclease MazF9,3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
group_3796,,hypothetical protein,3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
group_3798,,hypothetical protein,3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
group_3799,,hypothetical protein,3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
group_3811,,hypothetical protein,3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
group_3819,,hypothetical protein,3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
group_3832,,cpp9,3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
group_3834,,hypothetical protein,3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
group_3845,,hypothetical protein,3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
group_3846,,hypothetical protein,3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
group_3847,,"putative site-specific recombinase, phage integrase family",3,7,406,121,0.733496333,94.53125,0.127726953,0.002370453,1,0.008483271,1,1,1,1,1
group_220,,Putative uncharacterized protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_2479,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3066,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
traC,,Protein TraC,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3068,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3069,rep,ATP-dependent DNA helicase Rep,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3070,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3072,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
dnaG_2,,DNA primase,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3075,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3077,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3078,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3079,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3080,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3081,,DNA/RNA non-specific endonuclease,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3084,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3085,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3770,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3771,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3772,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3773,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3774,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3775,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3776,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3777,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3778,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3780,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3787,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3793,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3794,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
tdk,,Thymidine kinase,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3801,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3802,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3803,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3804,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3805,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3806,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3808,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3809,,Single-stranded DNA-binding protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3810,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3812,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3813,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3814,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3815,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3816,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3817,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3818,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3820,,putative CRISPR-associated protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3821,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3823,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3825,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3826,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3829,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3831,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3837,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3838,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3839,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3840,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3841,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3842,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3843,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_4206,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_3844,,hypothetical protein,12,13,397,115,2.93398533,89.84375,0.267390041,0.002583638,1,0.008903753,1,1,1,1,1
group_1999,,hypothetical protein,22,18,387,110,5.378973105,85.9375,0.347401665,0.003050696,1,0.010311757,1,1,1,1,1
group_5342,,"host-nuclease inhibitor protein Gam, putative",0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5343,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5344,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5345,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_1040,maf7,motility accessory factor,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_1394,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_1393,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_2038,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_189,cipA,Invasion phenotype protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_2496,maf7,motility accessory factor,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_2999,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_3578,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5081,,"phage anti-repressor protein, putative",0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5082,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5083,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5084,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
ydiO,,putative BsuMI modification methylase subunit YdiO,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5519,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5520,,"phage repressor protein, putative",0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5521,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5522,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5523,,Putative uncharacterized protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5524,dam,DNA adenine methylase,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5525,,"phage virion morphogenesis protein, putative",0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5526,,"tail tape measure protein, TP901 family",0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5527,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5528,,"phage major tail tube protein, putative",0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5529,,major tail sheath protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5530,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5531,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5532,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5533,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5534,,"phage tail protein, putative",0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5535,,"baseplate assembly protein J, putative",0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5536,,"baseplate assembly protein W, putative",0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5537,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5538,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5539,,Baseplate assembly protein V,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5540,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5541,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5542,,"lipoprotein, putative",0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5543,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5544,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5545,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5546,,"Mu-like prophage I protein, putative",0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5547,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5548,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5549,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5550,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5551,,phage uncharacterized protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5552,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5553,,"prophage MuSo1, F protein, putative",0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5554,,"phage tail protein, putative",0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5555,,"tail protein X, putative",0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5556,,"tail protein D, putative",0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5557,,"DNA-binding protein, putative",0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5558,dns,extracellular deoxyribonuclease,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5559,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5560,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5561,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5562,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5563,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5564,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5565,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5566,,"bacteriophage DNA transposition protein B, putative",0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5567,,"bacteriophage DNA transposition protein A, putative",0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5568,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_5569,,hypothetical protein,0,4,409,124,0,96.875,0,0.003113581,1,0.010311757,1,0,1,1,1
group_472,,hypothetical protein,22,0,387,128,5.378973105,100,inf,0.003655728,1,0.011992096,1,1,0,1,1
group_3482,,hypothetical protein,22,0,387,128,5.378973105,100,inf,0.003655728,1,0.011992096,1,1,0,1,1
group_2467,,hypothetical protein,22,0,387,128,5.378973105,100,inf,0.003655728,1,0.011992096,1,1,0,1,1
group_3675,,hypothetical protein,22,0,387,128,5.378973105,100,inf,0.003655728,1,0.011992096,1,1,0,1,1
